001,001,PRESIDENTE DA REPUBLICA,NS,00
001,002,EX-PRESIDENTE DA REPUBLICA,NS,00
001,003,MINISTRO-CHEFE DA CASA CIVIL,NS,00
001,004,MINISTRO-CHEFE DO GABINETE MILITAR,NS,00
001,005,MINISTRO DE ESTADO,NS,00
001,006,CONSULTOR-GERAL DA REPUBLICA,NS,00
001,007,SUBPROCURADOR-GERAL DA REPUBLICA,NS,00
001,008,PROCURADOR DA REPUBLICA DE 1A. CATEGORIA,NS,00
001,009,PROCURADOR DA REPUBLICA DE 2A. CATEGORIA,NS,00
001,010,PROCURADOR-GERAL DA REPUBLICA,NS,00
001,011,SUBPROCURADOR-GERAL DA FAZENDA NACIONAL,NS,00
001,012,PROCURADOR DA FAZ.NAC.DE 1A.CATEGORIA,NS,00
001,013,PROCURADOR DA FAZ NAC DE 2A CATEGORIA,NS,00
001,014,SUBPROCURADOR GERAL DA REPUBLICA-INATIVO,NS,00
001,015,CONSULTOR JURIDICO-INATIVO,NS,00
001,016,SECRETARIO GERAL - PR,NS,00
001,017,CHEFE DA CASA MILITAR - PR,NS,00
001,018,CHEFE DO GABINETE PESSOAL DO PR,NS,00
001,019,SECRETARIO - EXECUTIVO,NS,00
001,020,CHEFE DO EST  MAIOR DAS FORCAS ARMADAS,NS,00
001,021,VICE-PRESIDENTE DA REPUBLICA,NS,00
001,022,CONSULTOR JURIDICO,NS,40
001,023,SECRETARIO DE PROJETOS ESPECIAIS DA PR,NS,40
001,024,CHEFE DE SEGURANCA INSTITUCIONAL DA PR,NS,40
001,025,SECRETARIO-GERAL DA PRESID DA REPUBLICA,NS,40
001,026,SECRETARIO DE COMUN SOCIAL DA PRES REP,NS,40
001,027,SECRETARIO DE ASSUN ESTRAT DA PRES REP,NS,40
001,028,SEC EXEC DA CAMARA POLI REG CONSE GOV PR,NS,40
001,061,JUIZ DO TRIB MARITIMO,NS,00
001,062,JUIZ PRESIDENTE DO TRIB MARITIMO,NS,00
001,063,MINISTRO-CHEFE DA SECRET  DE GOVERNO,NS,40
001,064,SECRETARIO EXECUTIVO DA SEC  DE GOVERNO,NS,40
001,071,SECRETARIO-PR,NS,40
001,072,SECRETARIO GERAL - MRE,NS,40
001,073,SUBSECRETARIO GERAL - SG-PR,NS,40
001,074,MINISTRO EXTRAORDINARIO,NS,00
001,075,ADVOGADO-GERAL DA UNIAO,NS,40
001,076,SUBSECRETARIO EXECUTIVO    SAE  PR,NS,40
001,077,SECRETARIO NACIONAL ANTIDROGAS,NS,40
001,078,MINISTRO EST CH DA SECR COMUN SOCIAL,NS,40
002,001,PESQ EM CIENC EXAT E DA NATUREZA,NS,40
002,002,PESQUISADOR EM CIENCIAS DA SAUDE,NS,40
002,003,PESQUISADOR EM CIENC  SOCIAIS E HUMANAS,NS,40
002,004,PESQ  EM TECNOLOGIA E CIENCIAS AGRICOLAS,NS,40
003,001,ESPECIALISTA I,NS,00
003,002,ESPECIALISTA II,NS,00
003,003,ESPECIALISTA III,NS,00
003,004,ESPECIALISTA IV,NS,00
003,005,ESPECIALISTA V,NS,00
003,010,CORONEL,NS,00
003,011,TENENTE CORONEL,NS,00
003,012,MAJOR,NS,00
003,013,CAPITAO,NS,00
003,014,PRIMEIRO TENENTE,NS,00
003,015,SEGUNDO TENENTE,NS,00
003,016,ASPIRANTE A OFICIAL,NM,00
003,017,SUBTENENTE,NM,00
003,018,PRIMEIRO SARGENTO,NM,00
003,019,SEGUNDO SARGENTO,NM,00
003,020,TERCEIRO SARGENTO,NM,00
003,021,CABO,NM,00
003,022,SOLDADO PRIMEIRA CLASSE,NM,00
003,023,SOLDADO SEGUNDA CLASSE,NM,00
